83.5,1045.2,2229.8,1286.65,928.6,855.4,268.95,260.35,1365.85,484.15,348.2,87.15,,258.1,1036.9,774.15,,1446.25,63.25,811.15,466,970.7,5894.25,,631.5,3245.85,458,362.05,3694.45,5851.85,198.15,202.55,293.35,1240.1,172.35,207.2,298.9,,523.55,309.2,,,673.5,668.75,253.1,366.4,189.95,910.55,36.25,1146.6,3130.45,229.05,2833.45,452.2,276,1252.05,165.15,428.75,134.95,700.1,15456.1,23028.45,575.35,,903,681.65,,,397.6,420.05,3018.8,128.85,345.4,1999.45,79.8,1715.3,257.25,468.15,135.55,1230.05,80,,2178.5,1095.8,283.75,77.25,1396,25.85,211.5,724.75,144.2,1299.95,331.85,,,22130.75,293.8,870.75,29.7,529.6
85.5,1049.65,2167.9,1305.7,916.75,854.05,281,270.7,1412.1,486.85,345.1,90.85,,269.7,1066.15,777.05,,1490.25,64.95,813.95,475.65,991,6179.2,,625.55,3328.4,456,369.95,3779.75,5912.45,197.3,200.2,304.6,1302.4,170.9,205.8,306.7,,542.25,313.05,,,691.85,665.85,260.55,375.45,198.85,939.7,36.8,1171.35,3234.75,234.4,2854.15,449.7,277.35,1307.75,173.05,435.2,143.8,693.7,15937.65,24029.65,572.15,,836.55,692.75,,,398.5,427,3001.2,130.1,358.95,2043.7,80.5,1700.35,258.5,484.9,140.55,1235.3,83.4,,2292,1108.55,292.35,80.15,1413.1,26.1,212.8,741.3,151.9,1298.3,336.6,,,23299.7,294.35,876.3,31.35,550.4
87.15,1043.5,2207.65,1298.7,935.9,845.3,285.8,273.3,1401.3,477.85,353.3,93.95,,274.3,1054.15,770.4,,1476.5,65.8,827.15,482.55,989,6144.35,,641.4,3462.1,455.65,389.3,3721.55,5994.3,193.9,200.85,304.15,1264.95,172.55,203.95,322.55,,531.5,320.45,,,676.4,684.6,259.85,382.6,193.3,952.25,37,1166.7,3231,231.6,2807.45,461.1,273.85,1284,177.65,481.4,141.6,737.65,15747.65,23779.15,584.35,,855.65,701.9,,,396.9,422.65,3097.05,137.65,359.3,2057.75,80.45,1703.45,255.1,476.45,142.6,1230.2,86,,2278.6,1107.3,298.65,82.75,1387,27.1,222.2,740.1,151.6,1287.15,334.9,,,22947.15,292.5,916.2,30.9,551.65
88,1033.65,2232.55,1311.05,936.1,849.75,281.55,277.55,1397.45,480.35,353.8,94.55,,273.05,1047.35,765.3,,1480.7,65.7,830.75,490.7,985.9,6115.45,,647.25,3419.95,457.75,379.75,3737.5,6088.5,191.65,200.95,303.55,1260.7,171.95,201.7,321.85,,522.6,326.15,,,673.35,688.55,250.75,387.35,191.75,944.3,36.65,1188.1,3230.85,229.25,2808.1,480.45,268.2,1303.2,186.45,485.75,143.55,760.35,16047.35,23385.9,607.9,,858.6,698.6,,,393.85,421.2,3144.55,141.85,360.15,2026.55,80.65,1698,255.3,478.7,150.15,1265.15,91.3,,2265.45,1106.55,311,85.15,1397.8,28.2,223.1,738.2,167.3,1314.3,340.15,,,22419.35,299.85,933.65,33.85,683.35
88.4,1041.65,2240.75,1314.1,935.25,860.55,290.3,277.05,1400.3,490.45,355.25,97.2,,276.8,1073.7,766.7,,1483.8,65.95,824.1,498.3,992.5,6149.7,,675.15,3721.95,461.1,391.05,3754.85,6305.5,192.35,199,309.2,1265.9,173.6,201.1,314.95,,525.85,325.05,,,671.9,689.95,250.75,396.5,190.1,945.15,37.2,1227.1,3285,239.6,2799.4,477.5,270.05,1317.05,184.6,500.65,145.3,755.3,15992.55,23815.4,601.6,,860.95,705.35,,,403.35,435,3096.8,142.75,367.45,2086.75,82.25,1730.9,256,482.45,149.2,1266.95,90.85,,2255.35,1125.15,311.1,83.55,1398.45,27.9,219.9,726.35,167.9,1283.8,339.3,,,22558.85,304.55,928.8,34.35,689.25
88.05,1030.9,2244.6,1307.15,942.25,855.25,288.1,277.9,1407.25,487.1,353.15,91.85,,277.1,1060.95,773.35,,1500.3,65.45,815.7,493.4,999.3,6213.2,,669.6,3691.25,458.55,393.45,3696,6128.25,189,193.3,303.65,1258.95,173,199.9,311,,506.8,315.05,,,673.7,687.6,248.05,391.75,185.9,950.35,36.45,1234.4,3230.6,234.85,2769.8,470.85,266.9,1324.25,187.05,506.3,143.85,737.9,15943.8,23783.9,597.55,,848.2,716.65,,,404.55,438.2,3065.1,141.65,363.6,2033.1,81.2,1751.6,269.4,476.2,151.65,1257,89.8,,2274.95,1183.15,311.5,81.75,1396.8,28.55,216.7,729.05,168.35,1286.3,338.05,,,22479.85,301.3,922.4,34.5,693.05
89.95,1025.15,2270.95,1305.65,936.5,852.95,285.8,277.2,1401.1,488.55,352.2,92.1,,274.8,1049.45,767.6,,1506.85,66.05,808.5,487.6,997.7,6194.65,,662.2,3663,460.5,425.6,3717.9,6193.1,189.3,194.4,305.55,1277.3,171.9,201.1,317.25,,513.05,321.75,,,670.5,690,252.35,395.75,189,976.1,36.7,1218.95,3233,238.65,2781.9,474.6,265.95,1319.25,187,513.8,145.6,739.3,15887.35,23959.35,603.2,,849.95,720.5,,,403.95,441.7,3015.45,146.15,358.15,2049.55,81.65,1758.75,272.7,485.35,149.9,1236.2,91.6,,2267.7,1207.65,309.95,82.75,1410.25,27.95,222.9,727.7,166.55,1267,343.6,,,22962.15,310.05,892.45,35.95,704.95
92.3,1032.75,2317.3,1297.65,946,850.75,285,275.85,1396.9,465.7,355.25,93.65,,277.65,1040.85,769.65,,1490.7,66.7,819.7,485.25,1002.85,6157.1,,655.5,3577,466,427,3752.45,6196.7,193.65,192.9,304.8,1291.7,168.2,202.15,317.9,,512.85,322.15,,,663.1,690.05,249.3,387.45,183.7,974.65,36.75,1224.2,3225.95,238.4,2784.3,485,265.75,1304,184.05,511.6,148.4,757.05,16009.4,23893.25,587.65,,846.45,726.85,,,403.75,439.75,3023.1,143.9,356.45,2058.55,81.6,1743.4,267.8,490.35,144.65,1240.7,91.85,,2256.4,1225.6,309.45,82.6,1408.2,27.1,225.4,738.45,153.9,1257,348.85,,,22966.1,319,881.75,36.85,737.65
95.1,1030.15,2397.95,1303.6,968.3,850.9,281.6,276.35,1388.55,470.15,357.55,92.85,,273.35,1055.45,778.9,,1501.95,68.3,828.4,488.9,993.05,6112.25,,655.05,3630.95,469.25,432,3761.9,6178.2,193.25,193.65,311.25,1277.65,170.35,199.9,313.7,,509.55,324.5,,,671.35,694.95,248,380.05,182.05,1011.1,36.6,1211.55,3239.35,237.55,2800.8,499.9,264.6,1322.5,188.05,518.4,147.9,750.1,16030.5,24013.05,579.95,,836.9,715.55,,,402.3,439.45,2976.05,143.95,350.2,2040.35,81.6,1752.05,269.95,483.35,145.1,1226,91,,2352.75,1258,311.05,82,1412.85,27.1,229.8,726.95,150.2,1251.95,355.9,,,22680.4,317.05,891.5,37.25,724.35
94.45,1029.85,2414.25,1310.2,984.35,862.3,281.65,271.65,1392.05,463.55,358.05,91.7,,270.6,1058.95,793.15,,1500.15,66.9,827.3,490.3,984.75,6022,,654.7,3637.25,474.45,428.35,3767.7,6200.15,187.75,192.25,309.55,1298.65,172.5,203.05,314.75,,505.3,320.9,,,679,690.5,256.15,379.9,185,1000.3,36.35,1196.7,3271.7,239.2,2806.5,499.65,269.2,1339.65,168.8,516.15,147.75,740.4,15876.95,24858.85,582.65,,830.5,714.55,,,403.95,435.15,2966.95,141.95,351.4,2031.65,83.4,1600.7,269.85,481.75,142.35,1216.85,88.5,,2345.3,1220.55,300.9,81.55,1452.85,26.45,222.4,730.1,146.05,1249.5,350.95,,,22346.15,320.5,903.6,37.15,712.7
